time beta 
-86900 0.17043553
-86850 0.16553609
-86800 0.16177968
-86750 0.15903170
-86700 0.15719554
-86650 0.15621091
-86600 0.15604721
-86550 0.15669342
-86500 0.15814586
-86450 0.16039546
-86400 0.16341608
-86350 0.16715532
-86300 0.17152872
-86250 0.17641798
-86200 0.18167344
-86150 0.18712027
-86100 0.19256785
-86050 0.19782116
-86000 0.20269301
-85950 0.20701583
-85900 0.21065183
-85850 0.21350059
-85800 0.21550351
-85750 0.21664470
-85700 0.21694872
-85650 0.21647547
-85600 0.21531326
-85550 0.21357089
-85500 0.21137010
-85450 0.20883923
-85400 0.20610902
-85350 0.20331116
-85300 0.20057961
-85250 0.19805458
-85200 0.19588845
-85150 0.19425252
-85100 0.19334357
-85050 0.19338858
-85000 0.19464645
-84950 0.19740562
-84900 0.20197665
-84850 0.20867974
-84800 0.21782712
-84750 0.22970147
-84700 0.24453158
-84650 0.26246713
-84600 0.28355479
-84550 0.30771798
-84500 0.33474237
-84450 0.36426931
-84400 0.39579838
-84350 0.42870009
-84300 0.46223853
-84250 0.49560334
-84200 0.52794919
-84150 0.55844048
-84100 0.58629835
-84050 0.61084653
-84000 0.63155278
-83950 0.64806262
-83900 0.66022254
-83850 0.66809060
-83800 0.67193329
-83750 0.67220832
-83700 0.66953440
-83650 0.66464986
-83600 0.65836279
-83550 0.65149653
-83500 0.64483415
-83450 0.63906623
-83400 0.63474572
-83350 0.63225331
-83300 0.63177583
-83250 0.63329943
-83200 0.63661779
-83150 0.64135486
-83100 0.64700005
-83050 0.65295327
-83000 0.65857600
-82950 0.66324451
-82900 0.66640094
-82850 0.66759825
-82800 0.66653559
-82750 0.66308149
-82700 0.65728300
-82650 0.64936067
-82600 0.63968959
-82550 0.62876870
-82500 0.61718078
-82450 0.60554677
-82400 0.59447817
-82350 0.58453151
-82300 0.57616851
-82250 0.56972516
-82200 0.56539192
-82150 0.56320641
-82100 0.56305882
-82050 0.56470910
-82000 0.56781409
-81950 0.57196185
-81900 0.57670999
-81850 0.58162439
-81800 0.58631485
-81750 0.59046462
-81700 0.59385121
-81650 0.59635691
-81600 0.59796847
-81550 0.59876620
-81500 0.59890393
-81450 0.59858214
-81400 0.59801701
-81350 0.59740870
-81300 0.59691213
-81250 0.59661323
-81200 0.59651325
-81150 0.59652268
-81100 0.59646571
-81050 0.59609478
-81000 0.59511412
-80950 0.59320997
-80900 0.59008465
-80850 0.58549119
-80800 0.57926502
-80750 0.57134945
-80700 0.56181224
-80650 0.55085112
-80600 0.53878741
-80550 0.52604757
-80500 0.51313410
-80450 0.50058775
-80400 0.48894431
-80350 0.47868954
-80300 0.47021621
-80250 0.46378719
-80200 0.45950816
-80150 0.45731259
-80100 0.45696090
-80050 0.45805435
-80000 0.46006314
-79950 0.46236663
-79900 0.46430291
-79850 0.46522373
-79800 0.46455037
-79750 0.46182578
-79700 0.45675858
-79650 0.44925493
-79600 0.43943531
-79550 0.42763431
-79500 0.41438309
-79450 0.40037524
-79400 0.38641856
-79350 0.37337615
-79300 0.36210131
-79250 0.35337134
-79200 0.34782544
-79150 0.34591172
-79100 0.34784780
-79050 0.35359813
-79000 0.36287032
-78950 0.37513098
-78900 0.38964003
-78850 0.40550118
-78800 0.42172476
-78750 0.43729811
-78700 0.45125822
-78650 0.46276091
-78600 0.47114125
-78550 0.47596043
-78500 0.47703537
-78450 0.47444884
-78400 0.46853906
-78350 0.45986984
-78300 0.44918326
-78250 0.43733879
-78200 0.42524352
-78150 0.41377887
-78100 0.40372956
-78050 0.39572031
-78000 0.39016507
-77950 0.38723287
-77900 0.38683256
-77850 0.38861783
-77800 0.39201183
-77750 0.39624936
-77700 0.40043349
-77650 0.40360193
-77600 0.40479828
-77550 0.40314266
-77500 0.39789643
-77450 0.38851645
-77400 0.37469501
-77350 0.35638293
-77300 0.33379459
-77250 0.30739524
-77200 0.27787204
-77150 0.24609191
