time	alpha
 -278150	 0.0357304250
 -278100	 0.0334231110
 -278050	 0.0311187559
 -278000	 0.0288176783
 -277950	 0.0265201972
 -277900	 0.0242266313
 -277850	 0.0219372990
 -277800	 0.0196525188
 -277750	 0.0173726089
 -277700	 0.0150978869
 -277650	 0.0128286704
 -277600	 0.0105652763
 -277550	 0.0083080211
 -277500	 0.0060572206
 -277450	 0.0038131902
 -277400	 0.0015762442
 -277350	-0.0006533034
 -277300	-0.0028751397
 -277250	-0.0050889527
 -277200	-0.0072944312
 -277150	-0.0094912652
 -277100	-0.0116791455
 -277050	-0.0138577643
 -277000	-0.0160268148
 -276950	-0.0181859915
 -276900	-0.0203349904
 -276850	-0.0224735085
 -276800	-0.0246012446
 -276750	-0.0267178986
 -276700	-0.0288231724
 -276650	-0.0309167691
 -276600	-0.0329983936
 -276550	-0.0350677527
 -276500	-0.0371245546
 -276450	-0.0391685097
 -276400	-0.0411993301
 -276350	-0.0432167300
 -276300	-0.0452204254
 -276250	-0.0472101345
 -276200	-0.0491855776
 -276150	-0.0511464773
 -276100	-0.0530925583
 -276050	-0.0550235476
 -276000	-0.0569391746
 -275950	-0.0588391711
 -275900	-0.0607232713
 -275850	-0.0625912121
 -275800	-0.0644427327
 -275750	-0.0662775752
 -275700	-0.0680954841
 -275650	-0.0698962068
 -275600	-0.0716794934
 -275550	-0.0734450968
 -275500	-0.0751927730
 -275450	-0.0769222807
 -275400	-0.0786333815
 -275350	-0.0803258403
 -275300	-0.0819994249
 -275250	-0.0836539062
 -275200	-0.0852890584
 -275150	-0.0869046588
 -275100	-0.0885004880
 -275050	-0.0900763298
 -275000	-0.0916319716
 -274950	-0.0931672040
 -274900	-0.0946818210
 -274850	-0.0961756203
 -274800	-0.0976484029
 -274750	-0.0990999735
 -274700	-0.1005301404
 -274650	-0.1019387153
 -274600	-0.1033255140
 -274550	-0.1046903556
 -274500	-0.1060330634
 -274450	-0.1073534641
 -274400	-0.1086513884
 -274350	-0.1099266709
 -274300	-0.1111791502
 -274250	-0.1124086685
 -274200	-0.1136150723
 -274150	-0.1147982119
 -274100	-0.1159579419
 -274050	-0.1170941206
 -274000	-0.1182066108
 -273950	-0.1192952790
 -273900	-0.1203599963
 -273850	-0.1214006376
 -273800	-0.1224170822
 -273750	-0.1234092136
 -273700	-0.1243769197
 -273650	-0.1253200924
 -273600	-0.1262386281
 -273550	-0.1271324276
 -273500	-0.1280013958
 -273450	-0.1288454421
 -273400	-0.1296644805
 -273350	-0.1304584291
 -273300	-0.1312272106
 -273250	-0.1319707521
 -273200	-0.1326889852
 -273150	-0.1333818459
 -273100	-0.1340492749
 -273050	-0.1346912172
 -273000	-0.1353076224
 -272950	-0.1358984446
 -272900	-0.1364636426
 -272850	-0.1370031794
 -272800	-0.1375170230
 -272750	-0.1380051457
 -272700	-0.1384675244
 -272650	-0.1389041405
 -272600	-0.1393149803
 -272550	-0.1397000343
 -272500	-0.1400592979
 -272450	-0.1403927708
 -272400	-0.1407004575
 -272350	-0.1409823672
 -272300	-0.1412385134
 -272250	-0.1414689143
 -272200	-0.1416735929
 -272150	-0.1418525766
 -272100	-0.1420058973
 -272050	-0.1421335918
 -272000	-0.1422357012
 -271950	-0.1423122713
 -271900	-0.1423633525
 -271850	-0.1423889996
 -271800	-0.1423892722
 -271750	-0.1423642342
 -271700	-0.1423139542
 -271650	-0.1422385052
 -271600	-0.1421379648
 -271550	-0.1420124150
 -271500	-0.1418619423
 -271450	-0.1416866378
 -271400	-0.1414865968
 -271350	-0.1412619192
 -271300	-0.1410127092
 -271250	-0.1407390755
 -271200	-0.1404411310
 -271150	-0.1401189932
 -271100	-0.1397727837
 -271050	-0.1394026283
 -271000	-0.1390086575
 -270950	-0.1385910055
 -270900	-0.1381498113
 -270850	-0.1376852176
 -270800	-0.1371973715
 -270750	-0.1366864242
 -270700	-0.1361525312
 -270650	-0.1355958517
 -270600	-0.1350165493
 -270550	-0.1344147914
 -270500	-0.1337907496
 -270450	-0.1331445992
 -270400	-0.1324765196
 -270350	-0.1317866942
 -270300	-0.1310753099
 -270250	-0.1303425578
 -270200	-0.1295886326
 -270150	-0.1288137327
 -270100	-0.1280180603
 -270050	-0.1272018213
 -270000	-0.1263652250
 -269950	-0.1255084846
 -269900	-0.1246318166
 -269850	-0.1237354411
 -269800	-0.1228195816
 -269750	-0.1218844650
 -269700	-0.1209303216
 -269650	-0.1199573851
 -269600	-0.1189658922
 -269550	-0.1179560830
 -269500	-0.1169282009
 -269450	-0.1158824921
 -269400	-0.1148192061
 -269350	-0.1137385954
 -269300	-0.1126409155
 -269250	-0.1115264246
 -269200	-0.1103953842
 -269150	-0.1092480581
 -269100	-0.1080847135
 -269050	-0.1069056196
 -269000	-0.1057110490
 -268950	-0.1045012762
 -268900	-0.1032765789
 -268850	-0.1020372368
 -268800	-0.1007835323
 -268750	-0.0995157501
 -268700	-0.0982341772
 -268650	-0.0969391030
 -268600	-0.0956308190
 -268550	-0.0943096187
 -268500	-0.0929757981
 -268450	-0.0916296549
 -268400	-0.0902714888
 -268350	-0.0889016015
 -268300	-0.0875202966
 -268250	-0.0861278794
 -268200	-0.0847246569
 -268150	-0.0833109381
 -268100	-0.0818870331
 -268050	-0.0804532540
 -268000	-0.0790099142
 -267950	-0.0775573286
 -267900	-0.0760958133
 -267850	-0.0746256859
 -267800	-0.0731472652
 -267750	-0.0716608711
 -267700	-0.0701668246
 -267650	-0.0686654480
 -267600	-0.0671570642
 -267550	-0.0656419973
 -267500	-0.0641205722
 -267450	-0.0625931146
 -267400	-0.0610599507
 -267350	-0.0595214078
 -267300	-0.0579778132
 -267250	-0.0564294954
 -267200	-0.0548767827
 -267150	-0.0533200042
 -267100	-0.0517594891
 -267050	-0.0501955672
 -267000	-0.0486285679
 -266950	-0.0470588212
 -266900	-0.0454866570
 -266850	-0.0439124050
 -266800	-0.0423363951
 -266750	-0.0407589567
 -266700	-0.0391804192
 -266650	-0.0376011117
 -266600	-0.0360213628
 -266550	-0.0344415007
 -266500	-0.0328618532
 -266450	-0.0312827475
 -266400	-0.0297045100
 -266350	-0.0281274666
 -266300	-0.0265519424
 -266250	-0.0249782614
