time sealevel 
-102000 -35.7606861
-101950 -35.5719491
-101900 -35.3832121
-101850 -35.1944750
-101800 -35.0057380
-101750 -34.8170009
-101700 -34.6282639
-101650 -34.4395269
-101600 -34.2507898
-101550 -34.0620528
-101500 -33.8733157
-101450 -33.6845787
-101400 -33.4958417
-101350 -33.3071046
-101300 -33.1183676
-101250 -32.9296305
-101200 -32.7408935
-101150 -32.5521565
-101100 -32.3634194
-101050 -32.1746824
-101000 -31.9859453
-100950 -32.2208249
-100900 -32.6939887
-100850 -33.1671525
-100800 -33.6307157
-100750 -34.0078731
-100700 -34.3850305
-100650 -34.7621878
-100600 -35.1075975
-100550 -35.2863316
-100500 -35.4650658
-100450 -35.6438000
-100400 -35.8225342
-100350 -36.0012684
-100300 -36.1800025
-100250 -36.3587367
-100200 -36.5209271
-100150 -36.6360313
-100100 -36.7551145
-100050 -36.8819217
-100000 -37.0087289
-99950 -37.1356709
-99900 -37.2692152
-99850 -37.4027595
-99800 -37.5363038
-99750 -37.6698481
-99700 -37.8033924
-99650 -37.9369367
-99600 -38.0704810
-99550 -38.1991756
-99500 -38.2923053
-99450 -38.3854351
-99400 -38.4785649
-99350 -38.5716947
-99300 -38.6648244
-99250 -38.7065215
-99200 -38.7412051
-99150 -38.7758886
-99100 -38.8105722
-99050 -38.8452557
-99000 -38.8799392
-98950 -38.9146228
-98900 -38.9493063
-98850 -38.9805551
-98800 -39.0117338
-98750 -39.0429125
-98700 -39.0740913
-98650 -39.1052700
-98600 -39.1729340
-98550 -39.2547868
-98500 -39.3366396
-98450 -39.4184924
-98400 -39.5003452
-98350 -39.5821980
-98300 -39.6640508
-98250 -39.7459036
-98200 -39.8665455
-98150 -39.9930660
-98100 -40.1181929
-98050 -40.2433198
-98000 -40.3684467
-97950 -40.4837027
-97900 -40.5790000
-97850 -40.6718571
-97800 -40.7647143
-97750 -40.8575714
-97700 -40.9504286
-97650 -41.0432857
-97600 -41.1361429
-97550 -41.2857681
-97500 -41.4597224
-97450 -41.6336768
-97400 -41.8076312
-97350 -41.9815856
-97300 -42.2004467
-97250 -42.4764619
-97200 -42.7524772
-97150 -43.0284924
-97100 -43.3045076
-97050 -43.5805228
-97000 -43.8565381
-96950 -44.1325533
-96900 -44.4231711
-96850 -44.7252624
-96800 -45.0273536
-96750 -45.3294449
-96700 -45.6315361
-96650 -45.9025812
-96600 -46.1011853
-96550 -46.2997893
-96500 -46.4983934
-96450 -46.6969975
-96400 -46.8956015
-96350 -47.0942056
-96300 -47.2928096
-96250 -47.3908327
-96200 -47.3499582
-96150 -47.3090837
-96100 -47.2682091
-96050 -47.2273346
-96000 -47.1663333
-95950 -46.9713077
-95900 -46.7540000
-95850 -46.5366923
-95800 -46.3193846
-95750 -46.1020769
-95700 -45.8847692
-95650 -45.6674615
-95600 -45.4787576
-95550 -45.3636061
-95500 -45.3909188
-95450 -45.4241675
-95400 -45.4574162
-95350 -45.4966203
-95300 -45.8276329
-95250 -46.1586456
-95200 -46.4896582
-95150 -46.8206709
-95100 -47.1516835
-95050 -47.4826962
-95000 -47.8137089
-94950 -48.1550153
-94900 -48.5718092
-94850 -48.9886031
-94800 -49.4053969
-94750 -49.8221908
-94700 -50.2389847
-94650 -50.4968582
-94600 -50.7330608
-94550 -50.9692633
-94500 -51.2054658
-94450 -51.4416684
-94400 -51.6778709
-94350 -51.9140734
-94300 -52.1502759
-94250 -52.1971065
-94200 -52.2400722
-94150 -52.2830380
-94100 -52.3260038
-94050 -52.3689696
-94000 -52.3651015
-93950 -52.3430203
-93900 -52.3209391
-93850 -52.2988579
-93800 -52.2767766
-93750 -52.2546954
-93700 -52.2326142
-93650 -52.2105330
-93600 -52.2351918
-93550 -52.2864000
-93500 -52.3664000
-93450 -52.4464000
-93400 -52.5264000
-93350 -52.6414797
-93300 -52.7819619
-93250 -52.9224442
-93200 -53.0629264
-93150 -53.2034086
-93100 -53.3438909
-93050 -53.4843731
-93000 -53.6248553
-92950 -53.7762424
-92900 -53.9316396
-92850 -54.0859543
-92800 -54.2402690
-92750 -54.3945838
-92700 -54.5273452
-92650 -54.6326751
-92600 -54.7380051
-92550 -54.8433350
-92500 -54.9486650
-92450 -55.0539949
-92400 -55.1593249
-92350 -55.2646548
-92300 -55.2922624
-92250 -55.2588023
-92200 -55.2253422
-92150 -55.1918821
-92100 -55.1584221
-92050 -55.0838325
-92000 -54.9132741
-91950 -54.7427157
-91900 -54.5721574
-91850 -54.4015990
-91800 -54.2310406
-91750 -54.0604822
-91700 -53.8899239
-91650 -53.7341483
-91600 -53.5987871
-91550 -53.4634259
-91500 -53.3280646
-91450 -53.1927034
-91400 -53.0663977
-91350 -52.9876332
-91300 -52.9088687
-91250 -52.8301042
-91200 -52.7513398
-91150 -52.6725753
-91100 -52.6292593
-91050 -52.5866667
-91000 -52.5530722
-90950 -52.5426160
-90900 -52.5321597
-90850 -52.5217034
-90800 -52.5112471
-90750 -52.5027462
-90700 -52.5900558
-90650 -52.6773655
-90600 -52.7646751
-90550 -52.8519848
-90500 -52.9392944
-90450 -53.0266041
-90400 -53.1139137
-90350 -53.2178485
-90300 -53.4239091
-90250 -53.6739086
-90200 -53.9335533
-90150 -54.1931980
-90100 -54.4528426
-90050 -54.7488118
-90000 -55.0497343
-89950 -55.3506568
-89900 -55.6515793
-89850 -55.9525018
-89800 -56.2760000
-89750 -56.6260000
-89700 -56.9760000
-89650 -57.4827252
-89600 -57.9926489
-89550 -58.5025725
-89500 -59.0124962
-89450 -59.5224198
-89400 -60.2475620
-89350 -61.0483215
-89300 -61.8490810
-89250 -62.6498405
-89200 -63.4506000
-89150 -64.2513595
-89100 -65.0521190
-89050 -65.8528785
-89000 -66.5782624
-88950 -67.2892890
-88900 -68.0003156
-88850 -68.7113422
-88800 -69.4223688
-88750 -69.8068965
-88700 -69.9549939
-88650 -70.1030913
-88600 -70.2511887
-88550 -70.3992861
-88500 -70.5473836
-88450 -70.6954810
-88400 -70.8435784
-88350 -70.9916758
-88300 -71.1397732
-88250 -71.2878706
-88200 -71.4359680
-88150 -71.5840654
-88100 -71.6561692
-88050 -71.6421310
-88000 -71.6930668
-87950 -71.7440027
-87900 -71.7949385
-87850 -71.8458743
-87800 -71.8968102
-87750 -71.9477460
-87700 -71.9986818
-87650 -71.9777136
-87600 -71.9197039
-87550 -71.8616942
-87500 -71.8036845
-87450 -71.6218774
-87400 -71.3346132
-87350 -71.0473491
-87300 -70.7600849
-87250 -70.4295500
-87200 -69.9980500
-87150 -69.5665500
-87100 -69.1350500
-87050 -68.6951091
-87000 -68.2354727
-86950 -67.7758364
-86900 -67.3162000
-86850 -66.8565636
-86800 -66.3969273
-86750 -65.7969417
-86700 -65.1618689
-86650 -64.5267961
-86600 -63.8917233
-86550 -63.2566505
-86500 -62.6215777
-86450 -61.9865049
-86400 -61.3514320
-86350 -60.4793164
-86300 -59.4209527
-86250 -58.3625891
-86200 -57.3042255
-86150 -56.2458618
-86100 -55.1531311
-86050 -53.5219836
-86000 -51.8908361
-85950 -50.2596885
-85900 -48.6285410
-85850 -46.9973934
-85800 -45.3662459
-85750 -43.7350984
-85700 -42.1039508
-85650 -40.4728033
-85600 -38.8416557
-85550 -37.3244650
-85500 -37.1177771
-85450 -36.9110892
-85400 -36.7044013
-85350 -36.4977134
-85300 -36.2910255
-85250 -36.0843376
-85200 -36.2643559
-85150 -36.5410508
-85100 -36.8177458
-85050 -37.0944407
-85000 -37.3700588
-84950 -37.6332941
-84900 -37.8546522
-84850 -38.0194088
-84800 -38.1059051
-84750 -38.1924015
-84700 -38.1020291
-84650 -37.8937442
-84600 -37.6854593
-84550 -37.4771744
-84500 -37.2688895
-84450 -37.0606047
-84400 -36.8523198
-84350 -36.5843529
-84300 -36.2931765
-84250 -36.0020000
-84200 -36.1394408
-84150 -36.2837682
-84100 -36.4280956
-84050 -36.5724230
-84000 -36.7167504
-83950 -36.8610778
-83900 -37.0054052
-83850 -37.1497326
-83800 -37.2940600
-83750 -37.4383874
-83700 -37.5827147
-83650 -37.7270421
-83600 -37.9313040
-83550 -38.1705040
-83500 -38.3975122
-83450 -38.5351138
-83400 -38.6727154
-83350 -38.8103171
-83300 -38.9479187
-83250 -39.0855203
-83200 -39.2231220
-83150 -39.3607236
-83100 -39.4983252
-83050 -39.6359268
-83000 -39.7867559
-82950 -39.9742787
-82900 -40.1618015
-82850 -40.3493242
-82800 -40.5368470
-82750 -40.7243698
-82700 -40.9118925
-82650 -41.0994153
-82600 -41.2869381
-82550 -41.4744608
-82500 -41.6619836
-82450 -41.8114106
-82400 -41.8552974
-82350 -41.8991843
-82300 -41.9430712
-82250 -41.9869580
-82200 -42.0308449
-82150 -42.0747318
-82100 -42.1186186
-82050 -42.1625055
-82000 -42.2063923
-81950 -42.2502792
-81900 -42.3037158
-81850 -42.3884153
-81800 -42.4731148
